course,menu_item
starter,"Teriyaki chicken skewers, chargrilled spring onion and mango salsa"
main,"Seared breast of chicken, wild mushroom fricassee, roast spring onions, herb buttered new potatoes, lemon and tarragon sauce"
dessert,"Coffee mocha creme brulee, homemade ginger biscuit and salt caramel gelato"
starter,"Roast sweet pepper, olive, feta cheese and sugar snap pea bruschetta, baby gem salad and strawberry vinaigrette  (V)"
main,"Seared sea bass fillets, salad Nicoise topped with parmesan shavings"
dessert,"Passionfruit meringue pie, tropical fruit compote and vanilla sauce"
